time,area_h1,area_h2,area_h3,area_h4,area_h5
7125000,202106.2071117,11973.448240474,11973.448179668,11973.448229094,11973.448239063
7150000,202061.95963311,11984.510110059,11984.510049365,11984.510098739,11984.510108725
7175000,202017.77197644,11995.557024158,11995.556963584,11995.557012914,11995.557022905
7200000,201973.62661961,12006.593363298,12006.593302851,12006.593352114,12006.593362125
7225000,201929.48305895,12017.629253394,12017.629193088,12017.629242277,12017.62925229
7250000,201885.28667678,12028.678348876,12028.678288704,12028.678337825,12028.678347818
7275000,201840.98062587,12039.754861532,12039.754801502,12039.754850586,12039.754860508
7300000,201796.52435201,12050.868929915,12050.868870035,12050.868919115,12050.868928923
7325000,201751.91100377,12062.02226688,12062.022207153,12062.022256269,12062.022265929
7350000,201707.16905063,12073.207755044,12073.207695485,12073.207744691,12073.20775415
7375000,201662.34640881,12084.413415362,12084.413355976,12084.413405308,12084.413414546
7400000,201617.49305334,12095.626754075,12095.626694876,12095.62674435,12095.626753361
7425000,201572.65483017,12106.836309699,12106.836250685,12106.836300338,12106.836309107
7450000,201527.87297332,12118.031773742,12118.031714924,12118.031764726,12118.031773283
7475000,201483.17683284,12129.205808685,12129.205750074,12129.205800032,12129.205808371
7500000,201438.56840172,12140.35791628,12140.357857879,12140.357908013,12140.35791611
7525000,201394.00979459,12151.497567885,12151.497509692,12151.497559982,12151.497567844
7550000,201349.42564486,12162.643605153,12162.643547168,12162.643597597,12162.643605219
7575000,201304.72393553,12173.819032332,12173.818974545,12173.819025106,12173.819032483
7600000,201259.8281361,12185.042982042,12185.042924454,12185.042975134,12185.042982263
7625000,201214.7065939,12196.323367461,12196.323310062,12196.323360835,12196.323367742
7650000,201169.38642221,12207.653410249,12207.653353031,12207.653403908,12207.653410603
7675000,201123.94594202,12219.013530146,12219.013473122,12219.013524093,12219.013530619
7700000,201078.48746871,12230.378148305,12230.378091474,12230.378142572,12230.378148938
7725000,201033.10133148,12241.724682431,12241.724625798,12241.724677034,12241.724683257
7750000,200987.83741571,12253.040661196,12253.040604759,12253.040656101,12253.040662232
7775000,200942.69522805,12264.326207944,12264.326151701,12264.32620312,12264.326209181
7800000,200897.63228788,12275.591942823,12275.591886781,12275.591938262,12275.591944251
7825000,200852.5828508,12286.854301939,12286.854246101,12286.854297617,12286.854303541
7850000,200807.47818743,12298.130467628,12298.130411998,12298.130463549,12298.130469394
7875000,200762.26406332,12309.433998527,12309.433943098,12309.433994628,12309.434000429
7900000,200716.9141146,12320.771485574,12320.771430354,12320.771481858,12320.77148761
7925000,200671.43476243,12332.141323465,12332.141268484,12332.141319962,12332.141325659
7950000,200625.85632051,12343.535933793,12343.535879048,12343.535930506,12343.535936141
7975000,200580.21515061,12354.946226108,12354.946171608,12354.946223052,12354.946228619
8000000,200534.54166633,12366.364597012,12366.364542773,12366.364594197,12366.364599685
8025000,200488.86258719,12377.78436663,12377.784312656,12377.784364066,12377.784369458
8050000,200443.20927475,12389.197694561,12389.197640868,12389.197692271,12389.197697549
8075000,200397.61710141,12400.595737719,12400.595684301,12400.59573571,12400.595740855
8100000,200352.11089871,12411.972288222,12411.97223508,12411.972286494,12411.972291489
8125000,200306.68613067,12423.328480071,12423.328427211,12423.328478604,12423.328483444
8150000,200261.29985944,12434.675047728,12434.674995164,12434.675046497,12434.675051166
8175000,200215.87914036,12446.030227372,12446.030175092,12446.030226355,12446.030230823
8200000,200170.34460036,12457.413862271,12457.413810258,12457.413861432,12457.413865674
8225000,200124.63961558,12468.840108379,12468.840056631,12468.84010771,12468.840111701
8250000,200078.75363627,12480.311603115,12480.311551644,12480.311602619,12480.311606349
8275000,200032.72993547,12491.817528212,12491.817477033,12491.817527913,12491.817531373
8300000,199986.65206296,12503.336996223,12503.33694534,12503.336996153,12503.336999327
8325000,199940.61280429,12514.846810757,12514.84676018,12514.846810935,12514.846813833
8350000,199894.68008726,12526.329989885,12526.329939604,12526.329990315,12526.329992935
8375000,199848.87523879,12537.78120188,12537.781151879,12537.781202557,12537.78120489
8400000,199803.17026457,12549.207445326,12549.207395592,12549.207446233,12549.207448274
8425000,199757.50168379,12560.62459043,12560.624540948,12560.624591547,12560.624593287
8450000,199711.79376693,12572.051569559,12572.051520328,12572.051570873,12572.051572308
8475000,199665.98323554,12583.504202329,12583.504153343,12583.504203822,12583.50420496
8500000,199620.03868374,12594.99034018,12594.990291462,12594.990341894,12594.990342717
8525000,199573.96867661,12606.507841876,12606.507793394,12606.507843794,12606.507844322
8550000,199527.8138524,12618.046547838,12618.046499601,12618.046549945,12618.046550214
8575000,199481.6258709,12629.593543102,12629.593495127,12629.59354542,12629.593545443
8600000,199435.44640439,12641.138409599,12641.138361902,12641.13841216,12641.138411949
8625000,199389.29960871,12652.675108394,12652.675060969,12652.675111167,12652.675110754
8650000,199343.1988034,12664.200309584,12664.20026242,12664.200312609,12664.200311986
8675000,199297.15533331,12675.711176965,12675.711130049,12675.711180249,12675.711179426
8700000,199251.17772387,12687.205579185,12687.205532499,12687.20558273,12687.205581716
8725000,199205.26094882,12698.684772812,12698.684726336,12698.684776613,12698.684775419
8750000,199159.37567621,12710.156090836,12710.15604456,12710.156094873,12710.156093522
8775000,199113.46723393,12721.633201271,12721.633155196,12721.633205555,12721.633204045
8800000,199067.46711631,12733.133230563,12733.133184664,12733.133235053,12733.133233409
8825000,199021.31284509,12744.671798263,12744.67175252,12744.671802944,12744.671801178
8850000,198974.96882612,12756.257802908,12756.257757307,12756.257807769,12756.257805897
8875000,198928.44130957,12767.889681925,12767.889636465,12767.889687001,12767.88968504
